Orders,POPM,AD,BCS,ASD,ERC,SADA,Decision
"{'pxxhksy': [9, 1, 9], 'fxru': [10, 1, 7], 'yetybi': 'din'}",105,117,94,79,111,95,TRUE
,104,74,76,93,101,97,FALSE
,61,114,101,102,73,63,FALSE
"{'bobjq': 96, 'mbahpwww': 91, 'blv': 3, 'xdhkk': False, 'wapaywyf': [6, 8, 0]}",115,82,98,73,103,103,TRUE
,118,103,90,116,94,88,FALSE
,71,109,120,74,95,110,FALSE
"{'erq': 'pxtzukfe', 'yosm': True, 'czx': 51.21, 'wjdmhhr': 6.9, 'rjbc': 88}",66,76,80,103,119,90,TRUE
,78,75,109,106,65,66,FALSE
,110,85,87,98,106,85,FALSE
,87,69,98,75,68,61,FALSE
,113,95,115,63,108,94,FALSE
"{'wgu': 66, 'cueespmm': 6.15, 'gxi': 21}",86,91,90,66,106,91,TRUE
"{'qpooogyi': 85.43, 'mygxhq': 96, 'vopoo': 68.55, 'esfbknyb': 16.0, 'whrhimrj': 'jtyziwwlnu'}",106,87,104,75,95,94,TRUE
,73,96,105,90,78,101,FALSE
,101,95,64,63,75,99,FALSE
{'roc': True},97,96,63,61,95,66,TRUE
,62,76,108,120,108,96,FALSE
,71,64,117,92,119,98,FALSE
{'wjkpqzp': 'mxzanm'},93,68,83,85,71,68,TRUE
,70,99,71,109,102,99,FALSE
,118,117,90,97,95,83,FALSE
,75,101,81,68,81,83,FALSE
,61,84,97,79,106,106,FALSE
"{'qnhiwdvk': False, 'xept': [7, 4], 'uvpptzev': 'mutlmjlww', 'hcqvmode': 'wcjpopra'}",102,88,101,104,92,102,TRUE
"{'btxvcde': 'pagcph', 'ilipij': 'pchetaec'}",80,110,100,112,108,68,TRUE
,84,112,75,76,101,90,FALSE
,102,101,111,115,119,70,FALSE
{'dub': [8]},87,96,75,60,71,107,TRUE
,115,107,80,111,113,98,FALSE
,108,70,71,61,113,78,FALSE
"{'pgwec': 'chrnosv', 'lfko': 81}",62,83,68,65,104,62,TRUE
,68,63,88,112,68,74,FALSE
,109,85,94,94,84,92,FALSE
,78,112,67,84,113,105,FALSE
,84,89,117,111,97,71,FALSE
"{'lsbixfp': 53, 'tnqrtxd': 15, 'jkjh': True, 'hxjx': 82, 'snt': 69.63}",82,100,113,78,96,90,TRUE
{'shuybfm': 1},68,113,65,91,88,104,TRUE
,113,86,103,98,99,87,FALSE
,112,89,116,75,111,119,FALSE
"{'jgwasj': 49, 'zgmlgij': 68}",92,114,101,112,107,103,TRUE
,86,89,69,62,112,65,FALSE
,120,114,105,111,61,60,FALSE
"{'qnpkta': [3, 5, 9, 8], 'shbkcyk': 'nwp', 'hxieksh': 38}",103,79,63,94,112,111,TRUE
,112,104,66,108,72,91,FALSE
,83,71,74,80,104,72,FALSE
,84,109,91,76,75,68,FALSE
,82,104,116,97,71,79,FALSE
"{'yenv': 52.11, 'mobid': 13.2, 'dvcje': True, 'dty': 11}",66,110,89,111,118,88,TRUE
"{'njchqndm': 'ufphrb', 'iyacv': 29, 'aagy': 5.29, 'alme': True, 'gccuqr': 90.95}",73,114,96,71,69,75,TRUE
,80,78,65,67,108,87,FALSE
,68,104,83,116,69,84,FALSE
"{'nvkqp': 13, 'dkblna': 'eajndudgc', 'zft': 7, 'vbf': [2, 8, 1, 1]}",78,82,116,90,113,98,TRUE
,81,98,68,76,64,114,FALSE
,116,116,69,108,73,87,FALSE
"{'cmdlo': [1, 3, 4], 'fywru': 10.33, 'pribodzg': 'mbatio', 'innwulft': 49, 'apk': [5, 7, 2]}",71,73,62,79,72,70,TRUE
,111,75,62,72,89,64,FALSE
,61,105,91,68,116,71,FALSE
,117,66,89,88,105,62,FALSE
,95,117,69,93,84,76,FALSE
"{'htj': [1, 9], 'lwzgbzq': 84, 'gweyjo': 39, 'qhtl': False}",85,119,83,73,75,62,TRUE
"{'bzaytdf': 'exxiwvs', 'hwigeez': 31, 'gkryp': True, 'ekdzy': [0], 'rdbu': [5, 4]}",77,96,108,101,86,116,TRUE
,86,106,84,94,111,76,FALSE
,86,94,118,97,108,106,FALSE
"{'qrplb': False, 'twf': True, 'cnpi': False, 'githwi': 28}",85,117,81,88,119,72,TRUE
,68,65,97,72,93,68,FALSE
,77,68,71,68,98,64,FALSE
"{'vgzaexhi': [10], 'znnhomvp': 91, 'wjebsao': [9], 'edifjjzc': [3, 9]}",115,117,75,103,61,111,TRUE
,114,81,70,112,97,100,FALSE
,118,64,76,97,88,106,FALSE
,61,69,118,72,91,80,FALSE
,92,86,97,90,95,70,FALSE
{'kkpkf': 8},91,82,65,91,91,113,TRUE
"{'asyw': 37, 'who': True, 'axzeco': 27.89}",92,69,114,81,75,87,TRUE
,113,76,100,117,103,78,FALSE
,92,116,97,78,75,116,FALSE
"{'vdkmxfuj': 'hcxtgwx', 'ynrfke': False, 'ygzkixs': True, 'kszn': 92.74, 'yqvlp': 'blzbyesw'}",99,92,74,86,90,83,TRUE
,86,120,83,86,76,84,FALSE
,64,79,63,84,83,79,FALSE
"{'eawwyh': 11.52, 'eycmis': 15.49, 'vjouwdc': True, 'zwsbqjp': [9, 6, 2], 'fmdk': False}",115,112,63,77,113,80,TRUE
,83,102,94,117,84,69,FALSE
,104,78,63,109,67,112,FALSE
,118,65,109,99,96,87,FALSE
,104,103,82,79,114,83,FALSE
{'uzmkxbg': False},102,117,119,75,62,68,TRUE
{'clwaqv': 17},97,65,76,75,82,110,TRUE
,115,91,116,79,66,109,FALSE
,96,84,67,112,89,83,FALSE
"{'ldug': 52.92, 'pxzugyhr': 47.97, 'swkq': 'brvwtppe', 'yocmle': 'qklxqs'}",77,72,67,80,78,83,TRUE
,68,116,115,91,78,80,FALSE
,106,109,111,76,77,80,FALSE
"{'ljpcdye': 1.46, 'mwphi': True, 'ajvckpm': False, 'luit': 59}",112,84,92,77,99,105,TRUE
,107,75,83,107,60,88,FALSE
,112,73,78,109,64,109,FALSE
,73,104,67,119,93,63,FALSE
,77,61,114,95,89,115,FALSE
{'fqrueiq': 44.09},77,112,82,96,87,83,TRUE
"{'wqer': 'ezrae', 'pltsdel': True, 'cfonv': 52, 'pxhba': [0]}",64,82,82,73,73,103,TRUE
,86,87,85,62,89,72,FALSE
,82,87,78,116,107,68,FALSE
"{'vrbxlbev': 'txnaa', 'gtfhft': True}",77,74,65,95,86,118,TRUE
,91,72,70,105,73,82,FALSE
,104,105,69,67,74,117,FALSE
"{'kxt': 36.42, 'rvklpi': 'paojlvcid', 'omu': False}",70,116,97,79,76,108,TRUE
,88,60,110,104,102,91,FALSE
,98,62,79,116,100,87,FALSE
,84,102,78,73,87,101,FALSE
,111,108,82,106,118,97,FALSE
"{'ceunjk': [10, 6, 9, 7], 'yddstiuc': 64}",65,86,102,91,102,87,TRUE
"{'vnnzdxpc': 3.22, 'hqptx': 'jvi'}",70,76,109,60,62,76,TRUE
,109,110,68,102,117,77,FALSE
,76,63,72,61,116,88,FALSE
"{'ejzok': 55, 'ybckn': 54, 'mfvcfub': 11}",115,85,71,91,116,99,TRUE
,107,96,97,114,108,61,FALSE
,61,69,75,119,120,96,FALSE
