feature,kind,threshold,operator,split_rule,criterion,impurity_decrease,n_left,n_right,class1,precision_1,recall_1,support_1,class2,precision_2,recall_2,support_2,value
Address details were fully provided,numeric,0.5,<=,Address details were fully provided <= 0.5,entropy,0.4854607607459134,2,17,Change shipping address and defult address,1.0,1.0,17,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
New Address,categorical,,==,New Address is null,entropy,0.4854607607459134,2,17,Change shipping address and defult address,1.0,1.0,17,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
In case the customer wants to change the name in the shipping address - what is the new name?,categorical,,==,In case the customer wants to change the name in the shipping address - what is the new name? is null,entropy,0.4854607607459134,2,17,Change shipping address and defult address,1.0,1.0,17,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
New Address Exists,numeric,0.5,<=,New Address Exists <= 0.5,entropy,0.4854607607459134,2,17,Change shipping address and defult address,1.0,1.0,17,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
The type of address change the customer asked to update ,list_contains,,in,'shipping' in The type of address change the customer asked to update ,entropy,0.2749344449564397,15,4,Change shipping address and defult address,0.8947368421052632,1.0,17,Information is still not clear | Escalate to agent SKIP,0.0,0.0,2,shipping
The type of address change the customer asked to update ,list_contains,shipping,in,'shipping' in The type of address change the customer asked to update ,entropy,0.16702680404522807,79,2,Change shipping address,1.0,1.0,79,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Address details were fully provided,numeric,,<=,Address details were fully provided <= 0.5,entropy,0.16702680404522807,2,79,Change shipping address,1.0,1.0,79,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,0.5
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.16702680404522807,2,79,Change shipping address,1.0,1.0,79,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
New Address,categorical,,==,New Address is null,entropy,0.16702680404522807,2,79,Change shipping address,1.0,1.0,79,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
New Address Exists,numeric,,<=,New Address Exists <= 0.5,entropy,0.16702680404522807,2,79,Change shipping address,1.0,1.0,79,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,0.5
The type of address change the customer asked to update ,list_contains,shipping,in,'shipping' in The type of address change the customer asked to update ,entropy,0.5435644431995964,14,2,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,1.0,14,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.5435644431995964,2,14,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,1.0,14,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 22.5,entropy,0.37138397431437964,13,3,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,0.9285714285714286,14,Information is still not clear | Escalate to agent SKIP,0.6666666666666666,1.0,2,22.5
